H1	H2
ScomH1c01g0001581	ScomH2c01g0001563
ScomH1c01g0001582	ScomH2c01g0001565
ScomH1c01g0001584	ScomH2c01g0001566
ScomH1c01g0001585	ScomH2c01g0001569
ScomH1c01g0001588	ScomH2c01g0001570
ScomH1c01g0001589	ScomH2c01g0001571
ScomH1c01g0001590	ScomH2c01g0001572
ScomH1c01g0001591	ScomH2c01g0001573
ScomH1c01g0001592	ScomH2c01g0001576
ScomH1c01g0001594	ScomH2c01g0001577
ScomH1c01g0001596	ScomH2c01g0001580
ScomH1c01g0001597	ScomH2c01g0001581
ScomH1c01g0001598	ScomH2c01g0001582
ScomH1c01g0001604	ScomH2c01g0001585
ScomH1c01g0001607	ScomH2c01g0001590
ScomH1c01g0001608	ScomH2c01g0001591
ScomH1c01g0001609	ScomH2c01g0001592
ScomH1c01g0001611	ScomH2c01g0001593
ScomH1c01g0001612	ScomH2c01g0001594
ScomH1c01g0001613	ScomH2c01g0001595
ScomH1c01g0001614	ScomH2c01g0001596
ScomH1c01g0001615	ScomH2c01g0001597
ScomH1c01g0001616	ScomH2c01g0001598
ScomH1c01g0001617	ScomH2c01g0001599
ScomH1c01g0001618	ScomH2c01g0001600
ScomH1c01g0001621	ScomH2c01g0001601
ScomH1c01g0001622	ScomH2c01g0001603
ScomH1c01g0001626	ScomH2c01g0001605
ScomH1c01g0001627	ScomH2c01g0001606
ScomH1c01g0001628	ScomH2c01g0001607
ScomH1c01g0001629	ScomH2c01g0001609
ScomH1c01g0001630	ScomH2c01g0001611
ScomH1c01g0001631	ScomH2c01g0001612
ScomH1c01g0001632	ScomH2c01g0001614
ScomH1c01g0001633	ScomH2c01g0001615
ScomH1c01g0001634	ScomH2c01g0001616
ScomH1c01g0001635	ScomH2c01g0001617
ScomH1c01g0001636	ScomH2c01g0001618
ScomH1c01g0001638	ScomH2c01g0001620
ScomH1c01g0001639	ScomH2c01g0001621
ScomH1c01g0001640	ScomH2c01g0001622
ScomH1c01g0001641	ScomH2c01g0001623
ScomH1c01g0001644	ScomH2c01g0001626
ScomH1c01g0001645	ScomH2c01g0001627
ScomH1c01g0001646	ScomH2c01g0001628
ScomH1c01g0001647	ScomH2c01g0001630
ScomH1c01g0001649	ScomH2c01g0001632
ScomH1c01g0001651	ScomH2c01g0001634
ScomH1c01g0001652	ScomH2c01g0001635
ScomH1c01g0001654	ScomH2c01g0001636
ScomH1c01g0001656	ScomH2c01g0001637
ScomH1c01g0001657	ScomH2c01g0001638
ScomH1c01g0001658	ScomH2c01g0001639
ScomH1c01g0001659	ScomH2c01g0001640
ScomH1c01g0001660	ScomH2c01g0001641
ScomH1c01g0001661	ScomH2c01g0001642
ScomH1c01g0001662	ScomH2c01g0001643
ScomH1c01g0001663	ScomH2c01g0001644
ScomH1c01g0001664	ScomH2c01g0001645
ScomH1c01g0001665	ScomH2c01g0001646
ScomH1c01g0001666	ScomH2c01g0001647
ScomH1c01g0001667	ScomH2c01g0001648
ScomH1c01g0001668	ScomH2c01g0001649
ScomH1c01g0001669	ScomH2c01g0001650
ScomH1c01g0001671	ScomH2c01g0001651
ScomH1c01g0001672	ScomH2c01g0001652
ScomH1c01g0001673	ScomH2c01g0001653
ScomH1c01g0001674	ScomH2c01g0001654
ScomH1c01g0001679	ScomH2c01g0001658
ScomH1c01g0001680	ScomH2c01g0001659
ScomH1c01g0001681	ScomH2c01g0001660
ScomH1c01g0001682	ScomH2c01g0001661
ScomH1c01g0001683	ScomH2c01g0001662
ScomH1c01g0001684	ScomH2c01g0001663
ScomH1c01g0001686	ScomH2c01g0001665
ScomH1c01g0001687	ScomH2c01g0001667
ScomH1c01g0001688	ScomH2c01g0001668
ScomH1c01g0001689	ScomH2c01g0001669
ScomH1c01g0001690	ScomH2c01g0001670
ScomH1c01g0001692	ScomH2c01g0001672
ScomH1c01g0001693	ScomH2c01g0001673
ScomH1c01g0001697	ScomH2c01g0001677
ScomH1c01g0001698	ScomH2c01g0001678
ScomH1c01g0001699	ScomH2c01g0001679
ScomH1c01g0001700	ScomH2c01g0001680
ScomH1c01g0001701	ScomH2c01g0001681
ScomH1c01g0001705	ScomH2c01g0001685
ScomH1c01g0001706	ScomH2c01g0001686
ScomH1c01g0001707	ScomH2c01g0001687
ScomH1c01g0001708	ScomH2c01g0001688
ScomH1c01g0001709	ScomH2c01g0001689
ScomH1c01g0001710	ScomH2c01g0001690
ScomH1c01g0001711	ScomH2c01g0001691
ScomH1c01g0001712	ScomH2c01g0001692
ScomH1c01g0001713	ScomH2c01g0001693
ScomH1c01g0001714	ScomH2c01g0001694
ScomH1c01g0001715	ScomH2c01g0001696
ScomH1c01g0001716	ScomH2c01g0001697
ScomH1c01g0001717	ScomH2c01g0001698
ScomH1c01g0001718	ScomH2c01g0001699
ScomH1c01g0001719	ScomH2c01g0001700
ScomH1c01g0001720	ScomH2c01g0001701
ScomH1c01g0001722	ScomH2c01g0001703
ScomH1c01g0001723	ScomH2c01g0001706
ScomH1c01g0001724	ScomH2c01g0001707
ScomH1c01g0001727	ScomH2c01g0001709
ScomH1c01g0001729	ScomH2c01g0001712
ScomH1c01g0001731	ScomH2c01g0001714
ScomH1c01g0001732	ScomH2c01g0001715
